ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
(em toca) a mi	(me toca) a mí		it's my turn	frase				optional-part	beveradb-1000
(molt) a prop de	(muy) cerca de		(very) close to	frase				optional-part	beveradb-1000
(molt) bé	(muy) bien		(very) well	frase	cognat			optional-part	beveradb-1000
(moltes) gràcies	(muchas) gracias		(many) thanks	frase	cognat			optional-part	beveradb-1000
-ment	-mente		-ly	mot	cognat			affix	beveradb-1000
-tat	-dad		-ty	mot	cognat			affix	beveradb-1000
...i tot	incluso		even	frase				affix	beveradb-1000
...no?	¿...verdad? / ¿...no?		right?	frase	cognat			affix	beveradb-1000
a	a		to, at, in, on	mot	cognat				beveradb-1000
a baix	abajo	a BAISH	down, below	frase					beveradb-1000
a dalt	arriba		up, above	frase					beveradb-1000
a disposar	de nada	a dis-pu-ZÁ	you're welcome	frase					beveradb-1000
a joc	a juego	a ZHOK	together	frase					beveradb-1000
a l'estranger	en el extranjero	a las-tran-ZHÉ	abroad	frase					beveradb-1000
a mi em va bé	a mí me va bien		that's fine for me	frase	cognat				beveradb-1000
a mà dreta	a mano derecha		on the right	frase					beveradb-1000
a més	además		also	frase	cognat				beveradb-1000
a part	aparte / excepto		except for, separately	frase	cognat				beveradb-1000
a prop de	cerca de		near	frase					beveradb-1000
a qui toca?	¿a quién le toca?		who's next?	frase					beveradb-1000
a quin preu van?	¿a qué precio están?		how much are they	frase			missing question mark		beveradb-1000
a quina hora?	¿a qué hora?		at what time	frase			missing question mark		beveradb-1000
a quina hora et lleves?	¿a qué hora te levantas?		what time do you get up?	frase					beveradb-1000
a quina hora obren?	¿a qué hora abren?		what time do they open?	frase					beveradb-1000
a veure	a ver	a BEW-ra	let's see	frase					beveradb-1000
abans	antes		before	mot					beveradb-1000
abans-d'ahir	anteayer	a-bans-da-Í	the day before yesterday	mot					beveradb-1000
abril	el abril		April	mot	cognat				beveradb-1000
acabar de	acabar de	a-ca-BÁ da	to have just finished	frase	cognat				beveradb-1000
aconsellar	aconsejar	a-cun-sa-LLÁ	to advise, to recommend	mot					beveradb-1000
acostumar a	soler	a-cus-tu-MÁ a	to frequently do…	frase					beveradb-1000
actualment	actualmente		at the moment	mot	cognat				beveradb-1000
adéu	adiós		goodbye	mot					beveradb-1000
afaitar-se	afeitarse	a-fai-TÁ-sa	to shave	mot	cognat				beveradb-1000
afeccionar-se	aficionarse	a-fi-siu-NÁ-sa	to grow fond	mot		aficionar-se	variant, aficionar-se is standard		beveradb-1000
agafar	coger / tomar	a-ga-FÁ	to take, to have	mot					beveradb-1000
agafar el metro	coger el metro	a-ga-FÁ al ME-tru	to catch the metro	frase					beveradb-1000
agafar les coses a pit	tomarse las cosas a pecho	a-ga-FÁ las CO-zas a PIT	to take things to heart	frase					beveradb-1000
agost	el agosto		August	mot	cognat				beveradb-1000
agradable	agradable	a-gra-DA-bla	pleasant nice	mot	cognat				beveradb-1000
agradar	gustar		to be pleasing	mot	cognat				beveradb-1000
ahir (mateix)	ayer (mismo)		yesterday	frase	cognat			optional-part	beveradb-1000
aixecar-se	levantarse	ay-sha-CAR-sa	to get up	mot					beveradb-1000
això rai!	¡no importa! / ¡da igual!	a-SHÓ RRAY	no problem!	frase			misspelling		beveradb-1000
així	así	a-SHÍ	so	mot					beveradb-1000
així va bé?	¿así está bien?	a-SHÍ ba BÉ	is that ok?	frase					beveradb-1000
ajudar	ayudar	a-zhu-DÁ	to help	mot	cognat				beveradb-1000
al	al		to the (m)	mot	cognat				beveradb-1000
al capdamunt	en lo más alto / en la cima		at the top	frase					beveradb-1000
al capdavall de	al final de	al cab-da-VÁLL da	at the bottom of	frase					beveradb-1000
al centre comercial	en el centro comercial	al SEN-tra cu-mar-si-AL	mall	frase	cognat				beveradb-1000
al costat de	al lado de	al cus-TAT da	next to	frase			misspelling		beveradb-1000
al final (de tot)	al final (del todo)		(right) at the end	frase	cognat			optional-part	beveradb-1000
al fons	al fondo		at the end/bottom	mot	cognat				beveradb-1000
al voltant de	alrededor de	al bul-TAN da	around	frase					beveradb-1000
alegre	alegre		happy	mot	cognat		adjective is invariable		beveradb-1000
l'alemany / l'alemanya	el alemán / la alemana	la-la-MÁÑ / la-la-MÁ-ña	German	mot	cognat		standard m/f form, spelling, article		beveradb-1000
alguna cosa	algo	al-GU-na CO-za	something	frase	cognat				beveradb-1000
alguna cosa més	algo más	al-GU-na CO-za MES	anything else	frase	cognat				beveradb-1000
alguna vegada	alguna vez	al-GU-na ba-GA-da	sometimes	frase					beveradb-1000
algú	alguien		somebody someone	mot	cognat				beveradb-1000
allà	allí		there	mot	cognat				beveradb-1000
alt / alta	alto / alta		loud, tall	mot	cognat		standard m/f form		beveradb-1000
altre / altra	otro / otra		other	mot	cognat		standard m/f form		beveradb-1000
amable	amable	a-MA-bla	kind	mot	cognat				beveradb-1000
amb	con	AM	with, by	mot					beveradb-1000
amb qui parlo?	¿con quién hablo?	am ki PAR-lu	who is speaking?	frase					beveradb-1000
ambdós / ambdues	ambos / ambas	am-DÓS / am-DU-as	both	mot	cognat		standard m/f form		beveradb-1000
ample / ampla	ancho / ancha		full, wide	mot	cognat		standard m/f form		beveradb-1000
amunt	arriba		upwards	mot					beveradb-1000
Amèrica	América		America (double continent)	mot	cognat				beveradb-1000
anada i tornada?	¿ida y vuelta?	a-NA-da i tur-NA-da	round trip?	frase	cognat				beveradb-1000
anar	ir	a-NÁ	to go	mot					beveradb-1000
anar (preterite tense)	fui / fuiste / fue / fuimos / fuisteis / fueron	BACH / bas / ba / bam / bau / ban	vaig / vas / va / vam / vau / van	frase		vaig / vas / va / vam / vau / van	not a lexical item, but a verb paradigm	optional-part	beveradb-1000
anar a comprar	ir de compras	a-NÁ a cum-PRÁ	to go shopping	frase					beveradb-1000
anar a dormir	ir a dormir	a-NÁ a dur-MÍ	to go to bed	frase	cognat				beveradb-1000
anar a la mida	quedar bien (de talla)	a-NÁ a la MI-da	to fit	frase					beveradb-1000
anar al cine	ir al cine	a-NÁ al si-NÉ-ma	to go to the cinema	frase	cognat	anar al cinema	spelling		beveradb-1000
anar al museu	ir al museo	a-NÁ al mu-ZEU	to go to the museum	frase	cognat				beveradb-1000
anar al teatre	ir al teatro	a-NÁ al ta-A-tra	to go to the theater	frase	cognat		spelling		beveradb-1000
anar bé	ir bien		to be fine	frase					beveradb-1000
anar-se'n	irse	a-NAR-san	to go away	mot					beveradb-1000
andalús	el andaluz / la andaluza	an-da-LU-za	Andalusian	mot	cognat	l'andalús / l'andalusa	added feminine form and articles		beveradb-1000
anglès anglesa	el inglés / la inglesa		English	mot	cognat	l'anglès / l'anglesa	added articles		beveradb-1000
antic / antiga	antiguo / antigua		ancient	mot	cognat				beveradb-1000
antipàtic / antipàtica	antipático / antipática		unlikeable	mot	cognat				beveradb-1000
apa!	¡venga! / ¡vamos!		let's go!	frase					beveradb-1000
aprendre	aprender	a-PRÉN-dra	to learn	mot	cognat				beveradb-1000
