ca	en	es	kind	flag	source
(em toca) a mi	it's my turn		frase	optional-part	beveradb-1000
(molt) a prop de	(very) close to		frase	optional-part	beveradb-1000
(molt) bé	(very) well		frase	optional-part	beveradb-1000
(moltes) gràcies	(many) thanks		frase	optional-part	beveradb-1000
-ment	-ly		mot	affix	beveradb-1000
-tat	-ty		mot	affix	beveradb-1000
...i tot	even		frase	affix	beveradb-1000
...no?	right?		mot	affix	beveradb-1000
a	to, at, in, on		mot		beveradb-1000
a baix	down, below		frase		beveradb-1000
a dalt	up, above		frase		beveradb-1000
a disposar	you're welcome		frase		beveradb-1000
a joc	together		frase		beveradb-1000
a l'estranger	abroad		frase		beveradb-1000
a mi em va bé	that's fine for me		frase		beveradb-1000
a mà dreta	on the right		frase		beveradb-1000
a més	also		frase		beveradb-1000
a part	except for, separately		frase		beveradb-1000
a prop de	near		frase		beveradb-1000
a qui toca?	who's next?		frase		beveradb-1000
a quin preu van	how much are they		frase		beveradb-1000
a quina hora	at what time		frase		beveradb-1000
a quina hora et lleves?	what time do you get up?		frase		beveradb-1000
a quina hora obren?	what time do they open?		frase		beveradb-1000
a veure	let's see		frase		beveradb-1000
abans	before		mot		beveradb-1000
abans-d'ahir	the day before yesterday		mot		beveradb-1000
abril	April		mot		beveradb-1000
acabar de	to have just finished		frase		beveradb-1000
aconsellar	to advise, to recommend		mot		beveradb-1000
acostumar a	to frequently do…		frase		beveradb-1000
actualment	at the moment		mot		beveradb-1000
adéu	goodbye		mot		beveradb-1000
afaitar-se	to shave		mot		beveradb-1000
afeccionar-se	to grow fond		mot		beveradb-1000
agafar	to take, to have		mot		beveradb-1000
agafar el metro	to catch the metro		frase		beveradb-1000
agafar les coses a pit	to take things to heart		frase		beveradb-1000
agost	August		mot		beveradb-1000
agradable	pleasant nice		mot		beveradb-1000
agradar	to be pleasing		mot		beveradb-1000
ahir (mateix)	yesterday		frase	optional-part	beveradb-1000
aixecar-se	to get up		mot		beveradb-1000
aixo rai!	no problem!		frase		beveradb-1000
així	so		mot		beveradb-1000
així va bé?	is that ok?		frase		beveradb-1000
ajudar	to help		mot		beveradb-1000
al	to the (m)		mot		beveradb-1000
al capdamunt	at the top		frase		beveradb-1000
al capdavall de	at the bottom of		frase		beveradb-1000
al centre comercial	mall		frase		beveradb-1000
al constat de	next to		frase		beveradb-1000
al final (de tot)	(right) at the end		frase	optional-part	beveradb-1000
al fons	at the end/bottom		frase		beveradb-1000
al voltant de	around		frase		beveradb-1000
alegre alegra	happy		frase		beveradb-1000
alemany alemana	German		frase		beveradb-1000
alguna cosa	something		frase		beveradb-1000
alguna cosa més	anything else		frase		beveradb-1000
alguna vegada	sometimes		frase		beveradb-1000
algú	somebody someone		mot		beveradb-1000
allà	there		mot		beveradb-1000
alt alta	loud, tall		frase		beveradb-1000
altre altra	other		frase		beveradb-1000
amable	kind		mot		beveradb-1000
amb	with, by		mot		beveradb-1000
amb qui parlo?	who is speaking?		frase		beveradb-1000
ambdós ambdues	both		frase		beveradb-1000
ample ampla	full, wide		frase		beveradb-1000
amunt	upwards		mot		beveradb-1000
Amèrica	America (double continent)		mot		beveradb-1000
anada i tornada?	round trip?		frase		beveradb-1000
anar	to go		mot		beveradb-1000
anar (preterite tense)	vaig / vas / va / vam / vau / van		frase	optional-part	beveradb-1000
anar a comprar	to go shopping		frase		beveradb-1000
anar a dormir	to go to bed		frase		beveradb-1000
anar a la mida	to fit		frase		beveradb-1000
anar al cine	to go to the cinema		frase		beveradb-1000
anar al museu	to go to the museum		frase		beveradb-1000
anar al teatro	to go to the theater		frase		beveradb-1000
anar bé	to be fine		frase		beveradb-1000
anar-se'n	to go away		mot		beveradb-1000
andalús	Andalusian		mot		beveradb-1000
anglès anglesa	English		frase		beveradb-1000
antic antiga	ancient		frase		beveradb-1000
antipàtic antipàtica	unlikeable		frase		beveradb-1000
apa!	let's go!		mot		beveradb-1000
