text	notes	category
A la plaça, {{c1::gira}} a l'esquerra.	imperatiu de girar	indicacions
Abans de menjar → {{c1::Bon profit!}}	fórmula a taula	actes_socials
Abans la gent {{c1::llegia}} en silenci a les biblioteques.	imperfet	sabrina
Abans, Sartre {{c1::escrivia}} obres de teatre.	imperfet — passat habitual	sabrina
Abans, els llibres {{c1::costaven}} molts diners.	imperfet	sabrina
Al MNAC hi ha {{c1::una}} sala dedicada al romànic.	indef. fem. sing.	articles
Al museu hi ha {{c1::un}} quadre de Picasso.	indef. masc. sing.	articles
Algú malalt → {{c1::Que et milloris aviat}}	desig de recuperació	actes_socials
Aniversari → {{c1::Per molts anys!}}	felicitació catalana clàssica	actes_socials
Antoni Tàpies {{c1::pintava}} amb materials inesperats: sorra, terra, pols.	imperfet de pintar	imperfet
Ara molta gent {{c1::llegeix}} en mòbils i tauletes.	present	sabrina
Ara, els filòsofs {{c1::escriuen}} sobretot articles acadèmics.	present	sabrina
Ara, els llibres {{c1::estan}} molt més a l'abast.	present	sabrina
Borges treballava {{c1::a}} la Biblioteca Nacional de Buenos Aires.	A = lloc concret	preposicions
Borges {{c1::llegia}} en moltes llengües des de molt jove.	imperfet de llegir	imperfet
Brindis → {{c1::Salut!}}	brindis	actes_socials
Casament → {{c1::Que sigueu molt feliços!}}	felicitació nupcial	actes_socials
Comiat → {{c1::Fins aviat}}	comiat informal	actes_socials
Continua recte i {{c1::travessa}} el carrer.	imperatiu de travessar	indicacions
Dalí pintava {{c1::a}} Portlligat, en un poble del Cap de Creus.	A = lloc concret	preposicions
El carrer {{c1::continua}} recte fins a la biblioteca.	present de continuar	indicacions
Em pot {{c1::dur}} el compte, si us plau?	verb dur = traer	bar_frases
Enterrament → {{c1::T'acompanyo en el sentiment}}	condol	actes_socials
Espriu va viure {{c1::en}} un context d'opressió cultural.	EN = context ampli / indefinit	preposicions
Estudio Kant {{c1::i}} Hegel a la vegada.	suma	conjuncions
Estudio filosofia {{c1::per}} comprendre millor el món.	finalitat (+ inf.)	conjuncions
Filòsofs catalans contemporanis? {{c1::N'hi ha}} pocs però influents.	quantitat indeterminada	nhiha
Hi ha llibres de Kant a la biblioteca? — Sí, {{c1::n'hi ha}} molts.	resposta a pregunta amb quantitat indefinida	nhiha
Hi ha obres de Tàpies aquí? — Sí, {{c1::n'hi ha}} tres.	quantitat concreta	nhiha
